"StartDate","Count","Class"
"01-01","1","L"
"01-06","3","L"
"01-11","3","L"
"01-16","2","L"
"01-21","2","L"
"01-26","2","L"
"01-31","1","L"
"02-05","3","L"
"02-10","3","L"
"02-15","2","L"
"02-20","2","L"
"02-25","4","M"
"03-02","4","M"
"03-07","2","L"
"03-12","2","L"
"03-17","2","L"
"03-22","1","L"
"03-27","0","L"
"04-01","0","L"
"04-06","1","L"
"04-11","1","L"
"04-16","1","L"
"04-21","2","L"
"04-26","2","L"
"05-01","1","L"
"05-06","0","L"
"05-11","1","L"
"05-16","2","L"
"05-21","3","L"
"05-26","2","L"
"05-31","3","L"
"06-05","2","L"
"06-10","1","L"
"06-15","1","L"
"06-20","1","L"
"06-25","2","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","2","L"
"07-25","0","L"
"07-30","0","L"
"08-04","0","L"
"08-09","1","L"
"08-14","1","L"
"08-19","2","L"
"08-24","2","L"
"08-29","1","L"
"09-03","1","L"
"09-08","3","L"
"09-13","3","L"
"09-18","2","L"
"09-23","2","L"
"09-28","5","M"
"10-03","4","M"
"10-08","2","L"
"10-13","1","L"
"10-18","3","L"
"10-23","5","M"
"10-28","4","M"
"11-02","2","L"
"11-07","2","L"
"11-12","4","M"
"11-17","4","M"
"11-22","2","L"
"11-27","2","L"
"12-02","2","L"
