"StartDate","Count","Class"
"01-01","4","M"
"01-06","2","L"
"01-11","2","L"
"01-16","1","L"
"01-21","2","L"
"01-26","3","L"
"01-31","4","M"
"02-05","3","L"
"02-10","7","H"
"02-15","8","H"
"02-20","6","M"
"02-25","7","H"
"03-02","7","H"
"03-07","6","M"
"03-12","7","H"
"03-17","7","H"
"03-22","7","H"
"03-27","8","H"
"04-01","7","H"
"04-06","9","H"
"04-11","8","H"
"04-16","6","M"
"04-21","6","M"
"04-26","6","M"
"05-01","7","H"
"05-06","4","M"
"05-11","5","M"
"05-16","5","M"
"05-21","4","M"
"05-26","3","L"
"05-31","3","L"
"06-05","2","L"
"06-10","1","L"
"06-15","0","L"
"06-20","1","L"
"06-25","1","L"
"06-30","0","L"
"07-05","1","L"
"07-10","1","L"
"07-15","2","L"
"07-20","2","L"
"07-25","2","L"
"07-30","0","L"
"08-04","1","L"
"08-09","1","L"
"08-14","1","L"
"08-19","2","L"
"08-24","3","L"
"08-29","4","M"
"09-03","2","L"
"09-08","2","L"
"09-13","3","L"
"09-18","2","L"
"09-23","2","L"
"09-28","5","M"
"10-03","2","L"
"10-08","2","L"
"10-13","1","L"
"10-18","2","L"
"10-23","2","L"
"10-28","1","L"
"11-02","2","L"
"11-07","0","L"
"11-12","0","L"
"11-17","1","L"
"11-22","2","L"
"11-27","1","L"
"12-02","1","L"
