"StartDate\Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"01-01"," "," "," "," "," ","V"," "," "," "," "
"01-06"," "," "," "," "," ","V"," "," "," "," "
"01-11"," "," "," "," "," ","V"," "," "," "," "
"01-16"," "," ","V"," "," "," "," "," "," "," "
"01-21"," "," "," "," "," "," "," "," "," "," "
"01-26"," "," "," "," "," "," "," "," "," "," "
"01-31"," "," "," "," "," "," "," "," "," "," "
"02-05"," "," "," "," "," "," "," "," "," "," "
"02-10"," "," "," "," "," "," "," "," "," "," "
"02-15"," "," "," "," "," "," "," "," ","V"," "
"02-20"," "," "," "," "," "," "," "," "," ","V"
"02-25"," "," "," "," "," "," "," "," "," "," "
"03-02","V"," "," "," "," "," "," "," "," "," "
"03-07","V"," "," "," "," "," ","V"," "," "," "
"03-12","V"," "," ","V"," "," "," "," "," "," "
"03-17"," "," "," "," "," "," "," ","V"," "," "
"03-22"," "," ","V"," "," "," "," ","V"," "," "
"03-27"," "," ","V"," ","V"," "," "," "," "," "
"04-01"," "," "," "," "," "," "," "," "," "," "
"04-06"," "," "," "," "," "," "," "," "," "," "
"04-11"," "," "," "," ","V"," "," "," "," "," "
"04-16","V"," "," "," "," "," "," "," "," "," "
"04-21","V"," "," "," "," "," "," "," "," "," "
"04-26","V"," "," "," "," "," "," ","V"," "," "
"05-01","V"," "," "," "," "," "," ","V"," "," "
"05-06","V"," "," "," "," "," "," ","V"," "," "
"05-11","V"," "," "," "," "," ","V","V"," "," "
"05-16"," "," "," "," "," "," ","V","V","V"," "
"05-21","V"," "," "," "," "," ","V","V","V"," "
"05-26","V"," "," "," "," "," ","V","V","V"," "
"05-31"," "," ","V"," "," "," ","V"," ","V"," "
"06-05"," "," ","V"," "," "," ","V"," ","V"," "
"06-10"," "," "," "," "," "," "," "," ","V"," "
"06-15"," "," "," "," "," "," "," "," ","V"," "
"06-20"," "," "," ","V"," "," "," "," ","V"," "
"06-25"," "," "," ","V"," "," "," "," ","V"," "
"06-30"," "," "," ","V"," "," "," "," "," "," "
"07-05"," "," "," ","V"," "," "," "," "," "," "
"07-10"," "," "," ","V"," "," "," "," "," "," "
"07-15"," "," "," ","V"," "," "," "," ","V"," "
"07-20"," "," "," "," "," "," "," "," "," "," "
"07-25"," "," ","V"," "," "," "," "," "," "," "
"07-30"," "," "," "," "," "," "," "," "," "," "
"08-04"," "," ","V"," "," "," "," "," "," "," "
"08-09"," "," ","V"," "," "," "," "," "," "," "
"08-14"," "," ","V"," "," "," "," "," "," "," "
"08-19"," "," "," "," "," "," "," "," ","V"," "
"08-24"," "," "," "," "," "," "," "," ","V"," "
"08-29"," "," "," "," "," "," "," "," "," "," "
"09-03"," "," ","V","V"," "," ","V"," "," "," "
"09-08"," "," "," "," "," "," "," "," "," "," "
"09-13"," "," "," "," "," "," ","V"," "," "," "
"09-18"," "," "," "," "," "," "," "," "," "," "
"09-23"," "," "," "," "," "," "," "," "," "," "
"09-28"," "," "," "," "," "," "," "," "," "," "
"10-03"," "," "," "," "," "," "," "," "," "," "
"10-08"," "," "," "," "," "," "," "," "," "," "
"10-13"," "," "," "," "," "," "," "," "," "," "
"10-18"," "," "," "," "," "," "," "," "," "," "
"10-23"," "," "," "," "," "," "," "," "," "," "
"10-28"," "," "," "," "," "," "," ","V"," "," "
"11-02"," "," "," ","V"," "," "," "," "," "," "
"11-07"," "," "," "," "," "," ","V"," "," "," "
"11-12"," "," "," "," "," "," "," "," "," "," "
"11-17"," "," "," "," "," "," ","V"," "," "," "
"11-22"," "," "," ","V"," "," "," "," "," "," "
"11-27"," "," "," "," "," "," "," "," "," "," "
"12-02"," "," "," "," "," "," "," "," "," "," "
