"StartDate","Count","Class"
"01-01","5","M"
"01-06","4","M"
"01-11","4","M"
"01-16","4","M"
"01-21","5","M"
"01-26","5","M"
"01-31","5","M"
"02-05","5","M"
"02-10","2","L"
"02-15","4","M"
"02-20","4","M"
"02-25","3","L"
"03-02","2","L"
"03-07","3","L"
"03-12","3","L"
"03-17","5","M"
"03-22","5","M"
"03-27","5","M"
"04-01","3","L"
"04-06","4","M"
"04-11","5","M"
"04-16","5","M"
"04-21","6","M"
"04-26","5","M"
"05-01","3","L"
"05-06","1","L"
"05-11","1","L"
"05-16","1","L"
"05-21","0","L"
"05-26","1","L"
"05-31","2","L"
"06-05","0","L"
"06-10","0","L"
"06-15","1","L"
"06-20","1","L"
"06-25","0","L"
"06-30","1","L"
"07-05","1","L"
"07-10","1","L"
"07-15","1","L"
"07-20","1","L"
"07-25","1","L"
"07-30","0","L"
"08-04","1","L"
"08-09","0","L"
"08-14","0","L"
"08-19","0","L"
"08-24","0","L"
"08-29","3","L"
"09-03","3","L"
"09-08","4","M"
"09-13","4","M"
"09-18","5","M"
"09-23","3","L"
"09-28","5","M"
"10-03","4","M"
"10-08","5","M"
"10-13","4","M"
"10-18","6","M"
"10-23","4","M"
"10-28","5","M"
"11-02","7","H"
"11-07","7","H"
"11-12","7","H"
"11-17","5","M"
"11-22","3","L"
"11-27","6","M"
"12-02","5","M"
