"StartDate","Count","Class"
"01-01","4","M"
"01-06","3","L"
"01-11","2","L"
"01-16","2","L"
"01-21","4","M"
"01-26","5","M"
"01-31","5","M"
"02-05","4","M"
"02-10","3","L"
"02-15","2","L"
"02-20","2","L"
"02-25","3","L"
"03-02","2","L"
"03-07","2","L"
"03-12","2","L"
"03-17","3","L"
"03-22","2","L"
"03-27","3","L"
"04-01","2","L"
"04-06","4","M"
"04-11","4","M"
"04-16","2","L"
"04-21","2","L"
"04-26","2","L"
"05-01","3","L"
"05-06","2","L"
"05-11","2","L"
"05-16","1","L"
"05-21","1","L"
"05-26","2","L"
"05-31","0","L"
"06-05","0","L"
"06-10","0","L"
"06-15","1","L"
"06-20","1","L"
"06-25","0","L"
"06-30","0","L"
"07-05","1","L"
"07-10","1","L"
"07-15","0","L"
"07-20","0","L"
"07-25","0","L"
"07-30","0","L"
"08-04","1","L"
"08-09","0","L"
"08-14","2","L"
"08-19","3","L"
"08-24","0","L"
"08-29","1","L"
"09-03","4","M"
"09-08","3","L"
"09-13","1","L"
"09-18","2","L"
"09-23","2","L"
"09-28","4","M"
"10-03","4","M"
"10-08","5","M"
"10-13","3","L"
"10-18","4","M"
"10-23","5","M"
"10-28","5","M"
"11-02","4","M"
"11-07","5","M"
"11-12","5","M"
"11-17","4","M"
"11-22","3","L"
"11-27","5","M"
"12-02","3","L"
